epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4947.09,1.01673,0.84543,1.08309,0.83947,0.80636,0.88887,0.65547,1.01877,0.92444,1.10249,0.000643101,0.000643101,0.000643101
43,5068.09,1.0215,0.88925,1.09668,0.84627,0.81205,0.88406,0.64467,1.02014,0.89744,1.10285,0.000628101,0.000628101,0.000628101
44,5184.92,1.02253,0.85335,1.08917,0.85556,0.80933,0.89533,0.65051,1.03909,0.92333,1.10066,0.000612981,0.000612981,0.000612981
45,5300.31,1.01963,0.85441,1.08991,0.84211,0.82417,0.89791,0.66129,1.03102,0.88585,1.09662,0.000597754,0.000597754,0.000597754
46,5421.94,1.02064,0.85225,1.07708,0.82497,0.83511,0.89962,0.65923,1.01549,0.89035,1.09174,0.000582435,0.000582435,0.000582435
47,5537.17,1.01202,0.84111,1.08323,0.84124,0.816,0.89341,0.65535,1.0258,0.90852,1.09796,0.00056704,0.00056704,0.00056704
48,5652.33,1.01441,0.85344,1.08174,0.81387,0.81284,0.88369,0.64297,1.04952,0.92888,1.11233,0.000551584,0.000551584,0.000551584
49,5767.64,1.01562,0.85011,1.08321,0.87493,0.79639,0.89622,0.65393,1.02987,0.88918,1.10856,0.000536081,0.000536081,0.000536081
50,5882.89,0.98324,0.81817,1.07339,0.85847,0.80646,0.89672,0.66449,1.00802,0.89042,1.10025,0.000520548,0.000520548,0.000520548
51,6004.26,0.98945,0.81472,1.07119,0.8787,0.80636,0.89813,0.66691,1.00774,0.90656,1.09356,0.000505,0.000505,0.000505
52,6130.06,0.98581,0.80546,1.06819,0.87004,0.80886,0.90251,0.6713,1.0142,0.87503,1.09597,0.000489452,0.000489452,0.000489452
53,6246.35,0.97434,0.80395,1.06635,0.83449,0.83441,0.90031,0.66771,1.01864,0.88467,1.0979,0.000473919,0.000473919,0.000473919
54,6362.04,0.98006,0.80637,1.06228,0.88345,0.80529,0.90164,0.66322,0.99048,0.87587,1.08643,0.000458416,0.000458416,0.000458416
